"sample","contrs","spec_d","spec_u","spec_m","hetero","design","ft_pt_cf","numerator","denom1","denom2","denom3","denom4","mvpf_1","mvpf_2","mvpf_3","mvpf_4","eff_fed_liab","eff_st_liab","eff_pay_liab","eff_fedeitc","eff_ctc","eff_caleitc","eff_st_nocal_liab","direct_real"
0,0,0,0,0,1,1,3,687.94642267633,760.587008713685,840.389539245429,911.524875750835,911.524938295278,0.904494048405841,0.818604219293383,0.754720404212402,0.754720352427129,-79.8025305317433,-72.6406485817981,-71.135336505407,61.8580159529765,-15.7604560746331,72.6405860373555,-6.2544442557889e-05,760.587008713685
0,0,0,0,0,2,1,1,661.560719620589,760.587008713685,706.020610260734,752.758339953564,752.758481703458,0.869802812881894,0.93702748900811,0.878848741365521,0.878848575871915,54.5663984529511,-99.0264308429899,-46.7377296928303,-22.2467072610821,-34.695886038621,99.0262890930964,-0.000141749893485616,760.587008713685
0,0,0,0,0,2,1,2,661.435014598183,760.587008713685,780.223867983909,871.689364079325,871.689505829219,0.869637539190698,0.847750295447031,0.758796701961356,0.758796578569539,-19.6368592702233,-99.1521358653953,-91.4654960954168,35.214251756116,-39.7808852882011,99.1519941155018,-0.000141749893485616,760.587008713685
0,0,0,0,0,2,1,3,661.435014598183,760.587008713685,831.946074276743,948.599203827273,948.599345577166,0.869637539190698,0.795045538466187,0.697275532099879,0.697275427905487,-71.3590655630577,-99.1521358653953,-116.65312955053,67.6019244325531,-39.7808852882011,99.1519941155018,-0.000141749893485616,760.587008713685
0,0,1,0,0,0,0,1,624.348675633347,760.587008713685,573.423486980528,717.513062344721,717.51314460203,0.820877386124769,1.0888090387106,0.870156528709139,0.870156428952452,187.163521733157,-136.238415337647,-144.089575364193,-120.254159749734,-76.8187183135958,136.238333080338,-8.22573090626579e-05,760.587008713685
0,0,1,0,0,0,0,2,624.095786585585,760.587008713685,755.045042374868,1003.43915712012,1003.43923937743,0.820544894187798,0.826567623863334,0.621956779498961,0.621956728513821,5.54196633881735,-136.49130438541,-248.394114745256,6.28016704204246,-81.578747143958,136.491222128101,-8.22573090626579e-05,760.587008713685
0,0,1,0,0,0,0,3,624.095786585585,760.587008713685,875.718224807165,1182.7365634533,1182.73664571061,0.820544894187798,0.71266734996067,0.527671001193517,0.527670964494902,-115.131216093479,-136.49130438541,-307.01833864614,77.4689924269661,-81.578747143958,136.491222128101,-8.22573090626579e-05,760.587008713685
0,0,1,0,0,1,0,1,624.377753083626,760.587008713685,612.875847519219,733.372774854065,733.372861449363,0.820915616399473,1.01876710529704,0.851378418305577,0.851378317776403,147.711161194466,-136.209342225357,-120.496927334846,-91.5559901377304,-64.5598174548812,136.209255630059,-8.65952980394369e-05,760.587008713685
0,0,1,0,0,1,0,2,624.227350164081,760.587008713685,777.957338198704,993.586383264084,993.586469859382,0.820717870556036,0.802392778515886,0.628256748158523,0.628256693403268,-17.3703294850189,-136.359745144902,-215.62904506538,23.6610754260328,-69.083165144903,136.359658549604,-8.65952980394369e-05,760.587008713685
0,0,1,0,0,1,0,3,624.227350164081,760.587008713685,885.981426042209,1154.0722168385,1154.07230343379,0.820717870556036,0.704560312232034,0.540891064749926,0.540891024164408,-125.394417328524,-136.359745144902,-268.090790796286,87.2504382784214,-69.083165144903,136.359658549604,-8.65952980394369e-05,760.587008713685
0,0,1,0,0,2,0,1,625.05351556862,760.587008713685,610.428135212436,733.178558858008,733.178605684222,0.821804091323777,1.02395921733046,0.852525633785851,0.852525579337252,150.158873501249,-135.53353997128,-122.750423645572,-93.9835753336274,-64.3496537299327,135.533493145066,-4.68262141213082e-05,760.587008713685
